time;stolen;load
1674228156;64428;0.03
1674228217;64448;0.05
1674228277;64473;0.02
1674228397;64556;0.02
1674228457;64590;0.06
1674228517;64612;0.02
1674228577;64631;0.00
1674228637;64651;0.00
1674228697;64676;0.00
1674228757;64709;0.00
1674228817;64737;0.07
1674228937;64795;0.11
1674228997;64823;0.04
1674229057;64852;0.09
1674229117;64878;0.03
1674229177;64915;0.01
1674229237;64941;0.03
1674229297;64963;0.01
1674229357;65000;0.04
1674229417;65024;0.01
1674229477;65054;0.04
1674229537;65085;0.01
1674229597;65106;0.04
1674229657;65140;0.09
1674229717;65159;0.09
1674229777;65181;0.03
1674229837;65208;0.07
1674229897;65238;0.02
1674229957;65275;0.08
1674230017;65306;0.03
1674230077;65332;0.08
1674230137;65352;0.03
1674230197;65375;0.09
1674230257;65411;0.03
1674230317;65435;0.01
1674230377;65456;0.03
1674230437;65490;0.01
1674230498;65515;0.08
1674230558;65548;0.03
1674230618;65572;0.01
1674230678;65587;0.03
1674230738;65617;0.01
1674230798;65648;0.04
1674230858;65693;0.01
1674230918;65721;0.04
1674230978;65757;0.01
1674231038;65788;0.04
1674231098;65815;0.01
1674231158;65844;0.05
1674231218;65870;0.02
1674231278;65911;0.00
1674231338;65944;0.06
1674231398;65965;0.02
1674231458;66011;0.07
1674231518;66032;0.02
1674231578;66061;0.08
1674231638;66092;0.03
1674231698;66117;0.09
1674231758;66163;0.03
1674231818;66205;0.01
1674231878;66235;0.03
1674231938;66273;0.01
1674231998;66316;0.07
1674232058;66385;0.02
1674232118;66416;0.01
1674232178;66453;0.00
1674232238;66488;0.00
1674232298;66520;0.06
1674232358;66558;0.02
1674232418;66597;0.07
1674232478;66623;0.02
1674232538;66652;0.07
1674232598;66680;0.03
1674232658;66714;0.08
1674232718;66749;0.03
1674232778;66793;0.09
1674232839;66822;0.09
1674232899;66854;0.03
1674232959;66900;0.05
1674233019;66927;0.02
1674233079;66952;0.05
1674233139;66987;0.02
1674233199;67023;0.05
1674233259;67062;0.02
1674233319;67097;0.00
1674233379;67126;0.00
1674233439;67161;0.06
1674233499;67198;0.02
1674233559;67232;0.16
1674233619;67263;0.20
1674233679;67293;0.07
1674233739;67325;0.02
1674233799;67348;0.01
1674233859;67390;0.07
1674233919;67422;0.03
1674233979;67458;0.01
1674234039;67497;0.06
1674234099;67532;0.02
1674234159;67572;0.07
1674234219;67609;0.02
1674234279;67648;0.07
1674234339;67689;0.03
1674234399;67734;0.08
1674234459;67792;0.10
1674234519;67819;0.04
1674234579;67846;0.05
1674234639;67881;0.02
1674234699;67916;0.00
1674234759;67953;0.00
1674234819;67980;0.05
1674234879;68010;0.02
1674234939;68044;0.00
1674235000;68075;0.04
1674235060;68109;0.01
1674235120;68147;0.04
1674235180;68175;0.01
1674235240;68211;0.00
1674235300;68241;0.00
1674235360;68287;0.03
1674235420;68330;0.01
1674235480;68375;0.04
