time;stolen;load
1674171656;3612;0.01
1674171716;3613;0.07
1674171776;3615;0.02
1674171836;3616;0.08
1674171896;3616;0.03
1674171956;3617;0.09
1674172016;3618;0.03
1674172076;3619;0.01
1674172136;3621;0.04
1674172196;3621;0.01
1674172256;3622;0.04
1674172317;3623;0.01
1674172377;3624;0.00
1674172437;3625;0.00
1674172497;3626;0.07
1674172557;3627;0.02
1674172617;3629;0.08
1674172677;3630;0.03
1674172737;3631;0.06
1674172797;3632;0.02
1674172857;3634;0.06
1674172917;3635;0.02
1674172977;3637;0.06
1674173037;3638;0.02
1674173097;3639;0.07
1674173157;3640;0.02
1674173217;3641;0.07
1674173277;3644;0.03
1674173337;3645;0.09
1674173397;3646;0.03
1674173457;3647;0.06
1674173517;3648;0.05
1674173577;3650;0.02
1674173637;3651;0.04
1674173697;3652;0.01
1674173757;3652;0.04
1674173817;3654;0.01
1674173877;3655;0.04
1674173937;3656;0.01
1674173997;3657;0.00
1674174057;3658;0.00
1674174117;3660;0.00
1674174177;3661;0.04
1674174237;3661;0.01
1674174297;3663;0.08
1674174357;3664;0.03
1674174417;3666;0.08
1674174477;3668;0.12
1674174537;3668;0.08
1674174597;3668;0.03
1674174657;3669;0.05
1674174717;3671;0.02
1674174777;3672;0.04
1674174837;3673;0.01
1674174897;3674;0.00
1674174957;3675;0.00
1674175017;3676;0.00
1674175077;3677;0.00
1674175137;3678;0.00
1674175197;3681;0.00
1674175257;3682;0.00
1674175317;3685;0.15
1674175377;3687;0.09
1674175437;3688;0.03
1674175497;3689;0.01
1674175557;3690;0.00
1674175618;3690;0.00
1674175678;3691;0.00
1674175738;3693;0.00
1674175798;3694;0.00
1674175858;3695;0.00
1674175918;3696;0.00
1674175978;3697;0.18
1674176038;3698;0.10
1674176098;3700;0.10
1674176158;3701;0.04
1674176218;3703;0.14
1674176278;3703;0.05
1674176338;3704;0.07
1674176398;3705;0.02
1674176458;3706;0.01
1674176518;3707;0.00
1674176578;3708;0.00
1674176638;3710;0.06
1674176698;3711;0.07
1674176758;3711;0.02
1674176818;3713;0.06
1674176878;3713;0.02
1674176938;3714;0.13
1674176998;3716;0.04
1674177058;3716;0.01
1674177118;3717;0.10
1674177178;3719;0.04
1674177238;3720;0.01
1674177298;3721;0.00
1674177358;3723;0.07
1674177418;3724;0.02
1674177478;3726;0.08
1674177538;3726;0.03
1674177598;3727;0.01
1674177658;3728;0.03
1674177718;3729;0.01
1674177778;3730;0.04
1674177838;3730;0.01
1674177898;3732;0.04
1674177958;3733;0.01
1674178018;3734;0.00
1674178078;3734;0.00
1674178138;3735;0.00
1674178198;3736;0.07
1674178258;3742;0.02
1674178318;3743;0.09
1674178378;3744;0.03
1674178438;3744;0.01
1674178498;3746;0.03
1674178558;3746;0.01
1674178618;3746;0.04
1674178678;3748;0.01
1674178738;3748;0.04
1674178798;3753;0.07
1674178858;3754;0.02
1674178919;3755;0.01
1674178979;3756;0.00
1674179039;3757;0.05
1674179099;3758;0.02
1674179159;3759;0.06
1674179219;3760;0.02
1674179279;3761;0.06
1674179339;3762;0.02
1674179399;3764;0.07
1674179459;3765;0.02
1674179519;3767;0.08
1674179579;3768;0.03
1674179639;3769;0.01
1674179699;3770;0.00
1674179759;3772;0.00
1674179819;3773;0.03
1674179879;3773;0.01
1674179939;3775;0.00
1674179999;3775;0.00
1674180059;3778;0.04
1674180119;3779;0.01
1674180179;3779;0.04
1674180239;3780;0.01
1674180299;3781;0.05
1674180359;3782;0.02
1674180419;3784;0.05
1674180479;3785;0.02
1674180539;3786;0.06
1674180599;3787;0.02
1674180659;3789;0.07
1674180719;3790;0.02
1674180779;3791;0.13
1674180839;3793;0.05
1674180899;3793;0.02
1674180959;3795;0.00
1674181019;3796;0.00
1674181079;3797;0.00
1674181139;3799;0.00
1674181199;3801;0.00
1674181259;3801;0.06
1674181319;3803;0.08
1674181379;3804;0.03
1674181439;3805;0.08
1674181499;3807;0.03
1674181559;3807;0.01
1674181619;3808;0.00
1674181679;3809;0.00
1674181739;3809;0.00
1674181799;3810;0.00
1674181859;3811;0.00
1674181919;3812;0.07
1674181979;3813;0.02
1674182039;3813;0.08
1674182099;3814;0.03
1674182159;3815;0.09
1674182219;3816;0.03
1674182280;3817;0.01
1674182340;3817;0.03
1674182400;3818;0.01
1674182460;3820;0.00
1674182520;3820;0.00
1674182580;3822;0.00
1674182640;3823;0.00
1674182700;3824;0.00
1674182760;3825;0.06
1674182820;3825;0.02
1674182880;3827;0.07
1674182940;3828;0.02
1674183000;3829;0.08
1674183060;3829;0.03
1674183120;3830;0.06
1674183180;3831;0.02
1674183240;3831;0.01
1674183300;3832;0.00
1674183360;3832;0.00
1674183420;3833;0.00
1674183480;3835;0.00
1674183540;3835;0.00
1674183600;3836;0.07
1674183660;3837;0.02
1674183720;3838;0.08
1674183780;3839;0.07
1674183840;3844;0.34
1674183900;3845;0.17
1674183960;3846;0.06
1674184020;3848;0.07
1674184080;3849;0.02
1674184140;3850;0.06
1674184200;3851;0.02
1674184260;3853;0.07
1674184320;3854;0.02
1674184380;3857;0.01
1674184440;3858;0.07
1674184500;3860;0.02
1674184560;3861;0.08
1674184620;3861;0.03
1674184680;3864;0.15
1674184740;3865;0.05
1674184800;3866;0.02
1674184860;3867;0.04
1674184920;3868;0.01
1674184980;3870;0.08
1674185040;3871;0.03
1674185100;3872;0.01
1674185160;3873;0.00
1674185220;3874;0.00
1674185280;3875;0.00
1674185340;3875;0.00
1674185400;3876;0.00
1674185461;3877;0.00
1674185521;3877;0.00
1674185581;3878;0.06
1674185641;3879;0.02
1674185701;3880;0.00
1674185761;3882;0.00
1674185821;3883;0.00
1674185881;3884;0.00
1674185941;3885;0.00
1674186001;3886;0.00
1674186061;3888;0.00
1674186121;3889;0.00
1674186181;3890;0.04
1674186241;3892;0.01
1674186301;3893;0.04
